 The Money Store Irvine ,"  The Money Store Irvine  1200 Main Street 
Irvine, California USA ",www.themoneystore.com, 650-242-9480,,"  I dont even know where to start. After contacting this company that seemed to have good rates, the sales person was outstanding in helping me get started. After the loan was locked in and i sent my paperwork in thats where things went very wrong. The processing and under writing people did not seem to know what the hell they were doing. After multiple request for the sale documents I had sent in to the sales person, they emailed me repeatedly threatening loan cancellation if I did not supply the same documents. And this was just the begining of the process I dont want to go into all the details but here is just a taste of the issues. 1. processor was an idiot 2. under writer did not know the guidlines- I went to HUD.gov and sent them to her so i could get approved 3. The loan took more than 65 days to close 4. The sales person gave up on giving me excuses and actually agreed that they didnt know what they were doing 5. I found out the company is not a 40 year old lender. They bought the name a few years back. They are relatively new to the mortgage business. They used to do car loans and other types of consummer loans 6. The company regularly fires people and then hires them back then fires them again. 7. Both Larry Dear and his brother Gary made a sales person names David Zilberman into running most of the company. He was just a loan sales guy and now is basically running the company. You can check out the licensing on the consumer access site for the licensing. 8. They charges me almost 3000.00 in lock extension fees at closing 9. I saw an internal email where the processing people called me names. Bottom line- avoid this company. They are great sales people but after that, you are just a number to them. ",  Mortgage Companies ,0
 Ocwen ,"  Ocwen  1661 Worthington Rd. 
West Palm Beach, Florida USA ",www.ocwen.com, 661  397-4850,," Where to begin? Ocwen acquired our loan from Indymc in August 2013, and the problems were soon to follow. We have paid IndyMac on time for over 9 years. We have always paid by using bill pay from our bank, direct to their account. The first month went fine, and we then received a notice that our payment would be increasing because there wouldn't be enough in the escrow account to pay thetaxes and insurance. Looking at the statement, they had made a mathmatical error by over-stating the taxes and by listing the insurance twice. We immediately called and were told to write a letter, which we did and sent it out to them, while also enclosing the tax statements coming due. We were then told they never received our documentation and to resend all the pages. Along with now we are into November and our payment was made on November 1st., we received a letter dated Nov. 7th., that they never received our payment. They received the first two (Sept-Oct) no problem, but all of a sudden we have issues. I can see where this is going. They will try and grab more escrow, try and hide-misplace the payments they recieve. All so that they can increase their cash deposits, by charging unwarranted late-fees. Placing families under stress and possibly taking their homes away. I'm not in a situation to refinance but I sure wish I was becauinsee the direction this relationship is headed. I really wish someone would pick up the ball and file a class-action against this company. I recently did research and found the Consumer Affairsbse where all the stories are the same about OCWEN being a lawless operation. their BBB rating is an ""F"", and no one can do anything, and there seems to be no protections for consumers who had their loans sold to this company. We need to take them down. All of their customer service is done in India so you aren't speaking with anyone who can help you. All thay do is say they are sorry and will make a note. Meanwhile, the next day someone is calling you again to say that your payment hasn't been received. You again explain the situtation and again, the same thing. I am sure we will see a late fee for the payment they claim to never have received. I am no longer paying electronically. I will be paying by check. DON'T do any business with this company. They are a SCAM, and will place you in harms way while they chase the all mighty dollar.   ",  Mortgage Companies ,0
 Mortgage Lenders Of America ,"  Mortgage Lenders Of America  8400 W. 110th Street, Suite 500 
Overland Park, Kansas USA ",www.mortgagelendersofamerica.com, 678-281-3464,," I am a disability-retired veteran existing on a fixed-income federal civil service disability retirement pension over the course of the past fourteen consecutive years running.  It has become my belief that MORTGAGE LENDERS OF AMERICA operate under the corporate philosophy, doctrine, and attendant actual practices of appearing to adhere to non-discriminatory lending practices, while behind-the-scenes and beneath the facade, in all actuality they may indeed embrace an elitist hidden agenda of exercising certain selective decisions in their own interests which do indeed become suspect and therefore tantamount to ""nod-and-wink"", ""hush-hush"" back-room practices which smack of fostering age discrimination and possibly discrimination against certain types of veterans and perhaps the disabled as well.  In light of the aforementioned belief, I hereby reserve the right to promote, advance, and/or promulgate said belief and attendant notions within the public domain at large, and more specifically within all manner of media from this day forward. With reference to multiple facts at hand, I contend that MORTGAGE LENDERS OF AMERICA (MLOA) unfairly and unjustly put-me-through-the-ringer in terms of overall abuse, and made me expend all kinds of unnecessary time, effort, hope, prayer, energy, emotion, and money in applying for and matriculating through the refinancing process before suddenly just pulling-the-rug-out-from-under-me at the very last minute of the eleventh-hour by summarily denying my REFI loan and sending me a Loan Withdrawal Letter to that effect. In said letter, the MLOA made it appear as though I had initiated the denial and witdrawal process, but that was not at all true .... not the case in any way, shape, manner, or form.  It was in-fact MLOA which initiated the loan denial and issuance of the attendant Withdrawal Letter. Personal devastation ensued as the tragic result of the aforementioned draconian action so cruelly perpetrated by the lender and when I lodged inquiry as to the rationale for their extreme and unexpected decision, their explanation was brief, cold, impersonal, and generally inadequate for the most part, with the exception of their advising me that the appraisal report came back stating that the entire roof of my dwelling was faulty and would require replacement. This is not true.  There was some moss on some areas on the roof, but the roof itself had already been replaced seven (7) years prior to the appraisal inspection and said roof was still in good condition with formidable integrity at the time of appraisal inspection.  The roof has not leaked even once over the course of the past seven-years and I reside in the Pacific Northwest region where rain and snow is prevalent and all too commonplace -- and the new roof has withstood the mean-season forces of Mother Nature's inclement weather assaults for all this time running. When I challenged the appraisal report submitted by Olson Appraisals, the lender failed to follow-up on my assertions and contention regarding the questionable report, but instead informed me that their minds were made-up and their hands-were-tied, so they could not reverse the REFI denial action and thus elected to let-it-stand. The MLOA loan officer I had been working with throughout the long involved REFI process advised me that since only a partial appraisal report had been submitted by Olson Appraisals, I should receive a refund of a portion of the $400 fee that I had already paid up-front.  This refund never materialized and when I inquired about it, all lines of communication were shut-down on me and MLOA has remained entirely incommunicado regarding the issue to this very day. It has since become my belief that the business practices of the MLOA organization have indeed become suspect and their mission statement and guiding principles regarding fiduciary integrity and customer relations is nebulous and lacking -- thus reflecting poor credit upon the institition -- in my humble opinion.  I have needlessly suffered at the hands of the MLOA organization.  They got-my-hopes-up, encouraged me, and then suddenly slammed-the-proverbial door-in-my-face at the last possible minute.  Just when I thought the long process was finally over and I was expecting REFI loan approval, everything went all-to-hell-in-a-bucket and the emotional roller-coaster ride ended abruptly with a surprise unexpected denial .... and that was it ...... oh man, did I feel savagely raped and left-for-dead !!!! Due to all the aforementioned ugliness, I must confess that I cannot recommend MORTGAGE LENDERS OF AMERICA to anyone seeking a REFI.  Thanks to MLOA, I have now missed the last best golden opportunity to obtain a REFI under the present historic low interest rate levels -- levels which have not been seen for many past decades.  I've just gotta say that I could really benefit greatly -- in my fixed-income retirement condition -- if I were to have become able to have had my monthly mortgage payment substantially reduced as the result of effecting a successful REFI loan.  I feel so foolish and decieved, depressed, despondent, defeated, and disgusted by all that has transpired during my painful relationship with MORTGAGE LENDERS OF AMERICA.   ",  Mortgage Companies ,0
 Seterus ,"  Seterus  14523 Milliakan Way,  
Beaverton, Oregon USA ",www.seterus.com, 678-607-5092  ,," In Oct 2012, I received notice that my mortgage was transferred from Bank of America to Seterus, Inc.  It didn't take long to see this place is a pirate ship disguised as a mortgage company.     By April of 2013, due to illness, I got 60 days behind.   Seterus called, and offered to modify my mortgage to reduce the rate. Sounded good.  I assembled about 55 pages of documents.  During the process....a thug like being from Seterus demanded I make all of the back ( and current) payments or he indicated I would soon be foreclosed.  I got the money together ( over 7K)...and was caught up.  Then....I received a letter stating that my mortgage mod was denied because I was no longer in arrears !!!     But later......more recently, I was late in my payment again.   I called to make a payment ( over the phone pay)...on the 13th, for the previous month.   The cust. service person refused to take my payment.  She would only take a payment for both Oct. and Nov. ( which I didn't have)   Now many many people fall behind one month.  In fact, this is called a ""rolling 30"" ( 30 days behind) in the business.   Seterus has devised a way to take your property by ...even if just 13 days late...you must come up with all the cash.  Naturally, since they refuse to take just one month .....you will keep getting more and more months behind.   Soon, you will receive an Act 91 notice, and Intent to Foreclose.  I'm sure they are looking at my property.....and see that they can foreclose and make a profit based on loan, vs. value.   I have to determine if refusing to accept a payment 12 days late is legal or not.   But I will pursue this.  Legally, and thru the regulatory bodies.        This company is a BAD, BAD company.     They have devised ways, devious and diabolocal..to take your home.    ",  Mortgage Companies ,0
 Home Retention Services Inc. ,"  Home Retention Services Inc.  9700 Bissonnet St, Suite 1500 
Houston, Texas USA ",, 678-607-5092  ,,"  Home Rentention Services Inc contacted me due to my mortgage through Bank of America.  My loan is delinquent due to a divorce.   A Brian Rodgriquez contacted me on October 23nd, 2013 and said I qualify for their Deed in Leiu program and he will have paperwork sent to start the process.  I then got a letter in the mail the next day dated 10/22/2013 stating that they have been unsuccessful to contact me and I have to call them by November 1, 2013 or they may cancel my deed in lieu request.   I have called there and left messages everyday at ext 6809 and 6814 ( supervisor's #) and have not got any return calls.  I am afraid my time will run out beofre the Deed in Lieu can be processed.    I sent a certified letter to them on November 8, 2013 and have not received any notification that it was signed for.  ",  Mortgage Companies ,0
" Wells Fargo Bank,keithon marcus,Home Preservation Specialist ","  Wells Fargo Bank,keithon marcus,Home Preservation Specialist  1200 w 7th street suite l-2-200 
Los Angeles, California USA ",, 682 647 3959,,"                        Wells Frago has made my husband and my life misserable.they have destroyed our credit,refused us servial time to modify our loan after my husband broke his wrist and was not able to work for almost 3 months.  Made broken promises they never intended to keep. Sold our deed to our home to a to a title company who then tried to forclose on us illegally.Posted our home on serveal pre -forclosure web sites,with personal information.For everyone ( including our family member to see).                          We recieved harrasing phone call,realtors bring people out to our home even if we were home to look at it to place bids.even left noted on our door when we were not home(tresspassing).  We finally had to hire an attoreny,(4 years later) but i still fell that we got ripped off because now we have a over 10,000.00 huge pymt on the end of our loan,we did not have before all for supposed fee accured when wells faro would not modify your loan to begin with.                                                                                                                                                                                                                                                                                                                            Wells fargo should be accountable for thier actions  and thir promises that they made to us not pass it on to the consumer,in the process of destorying peoples credit and the emotional embarrisment that me and my huband suffered because of shady prictices Wells Fargo does.  ",  Mortgage Companies ,0
 Select Portfolio Servicing ,"  Select Portfolio Servicing  P.O.Box 65250 
Salt Lake City, Utah USA ",www.spservicing.com, 682 647 3959,," I hired a lawyer to do a HAMP Application. The process took a very long time. Every other day they needed more papperwork from me. After nearly 2 months SPS wanted me to pay $1095.00 a month as house payments. I was already paying that same amount monthly on mortgage payments. The exact same amount. At the time interest rates were very low and my interest on the home was considered high. I wanted to a least be able to dicuss my payments and iterest but they would not communicate with me. Now my payments have gone up to $1121.96 for no reason, no local tax raise or insurance hikes. Just pure greed. I would gladly join a class action suit. But in other articles I read on this site if the so called judge is a democrat or appointed by our so called present administration it will be an up hill battle. I have tried twice to get a HAMP and turned down flat. SPS will not negotiate even if it is law. I have never tried to get a HARP what's the use. They will just deny that as well. ",  Mortgage Companies ,0
 Bank Of America ,"  Bank Of America   
Internet, Select State/Province USA ",https://www.bankofamerica.com, 702-222-1991,,"   I am not sure if many of you have had dealings w/ Bank of America and their short sale department but I livid  about word how horrible their process really is.  I have had a signed contract on a house since September 16, 2013. We missed our first closing October 31, 2013. Ok we decide to wait out the process just to find out that the house is now in deed in lieu of because someone at Bank of America let the paperwork sit. This is what we find out on November 1, 2013. The owners agent have been given the run around and is unable to ge the house back in short sale status.  The owners are now being given the run around to place the house in short sale status. No one is giving us a sraight answer and all parties involved have been given the run around.  Now we have had recent storms in Texas and now the roof is damanged and B of A has "" "" let the insurance lapse now the short sale has more problems.   We have been thru 2 case managers, a missed closing dates, more damage to the short sale and a bunch of paperwork that has gotten lost in the shuffle.   I plan to file a complaint with all who will listen. I have no clue as to what the status of the house that I am trying to purchase.  I am not please with B o A and plan on spreading the word.  ",  Mortgage Companies ,0
 ResMac ,"  ResMac  6501 Congress Ave 2nd Floor 
Boca Raton, Florida USA ",www.resmac.com, 702-298-4384,," What you can expect if you decide to become a Branch or do business with ResMac:   Underwriting: Underwriting is inconsistent.  Only 30% of all of our branch submissions were underwritten correctly by a competent underwriter.  The other 70% had questionable underwriting.  i.e. not running DU correctly, not calculating income correctly, not knowing LP is also an option, over conditioning wasted weeks to finally get it waived, last minute conditions were constantly being added after being cleared for docs.   Appraisals:  ResMac appraisers always act like they are certified home inspectors and notate unnecessary repair comments, causing unnecessary 442 or additional conditions.  In a business where lenders are supposed to use an unbiased appraisal management company, all their appraisers sure seem to have a lot in common in how they appraise.   Appraisal fees are too high; $450 across the board when it should be only $350 for non-FHA loans.    Service:  Service is bad.  Good luck getting any help or answers from anyone.  The Underwriting manager will not admit fault in her department. Harvey Kopelowits, President/Company Attorney, will just pass you back to the person you are complaining about. Nelson Haws, Owner, knows all the short comings but will just replace you with a new unsuspecting Branch to maintain a steady net profit. Mark Havlik in licensing will take forever to get anything done related to licensing.  Jeanne Delormier, Chief Compliance Officer, will deny all great marketing ideas with no feedback on what they will approve.   Lack of loan program options:  ResMac brokers out all loans outside of conventional and FHA. Anything non-vanilla will be  brokered out resulting in horrible pricing and turn times.       MARTI SYSTEM:  If you lock a loan through MARTI that is brokered out, they will not honor the pricing.  MARTI is not sophisticated enough to give accurate pricing on these type of transactions yet they allow you to lock, submit, and make you wait weeks and months going back and forth with their investor. After a month of waiting, I discovered they locked one of my loans with the wrong investor voiding my original approval and rate lock.     Commissions:  Keep detailed records of all your earned commissions.  ResMac will not pay you unless you fight for your check, especially when you decide to quit.  Their act of professionalism goes away real quick. ",  Mortgage Companies ,0
 American Equity Mortgage ,"  American Equity Mortgage  11933 Westline Industrial Dr 
St. Louis, Missouri USA ",http://www.americanequity.com/, 702-395-5889 ,," American Equity Mortgage will make promises that they will not honor. I was told by AEM that I am a candidate for a mortgage. I told them that I am skeptical since I recently got divorced and my ex husband and I recently did a short sale. Page Vrendenburg from AEM assured me that my situation is not a problem as long as I have a good job, which I do. He said that FHA recently rolled out a new program that will provide mortgages to people in my situation. After spending several weeks looking for a home with my realtor, I finally found a condo. The association told me that they do not do FHA loan. I shared the news with Mr. Vrendenburg. A day or two later I got a call back from Mr. Vrendenburg. He told me that I have been approved for a conventional loan! I was skeptical at first but he said not to worry. My realtor and I went to work gathering all the necessary documents, got the home inspection, home appraisal, termite inspection and a deposit to hold the house. A day before the closing I was told that AEM will not approve my Loan! I lost all the money I put out in trying to acquire this home. Do not use American Equity Mortgage. They are good making promises but do not delivery. Stay away! And especially stay away from this loan officer:Page VredenburgBranch ManagerAmerican Equity MortgageNot only is he unethical, he will not return any of your calls and emails unless you pester him. He should not be in the mortgage business. ",  Mortgage Companies ,0
 HSBC MORTGAGE SERVICES ,"  HSBC MORTGAGE SERVICES   
Brandon, Florida USA ",www.hsbcmortgageservices.com/, 702-400-9241,,"  We applied for a loan modification, faxed paperwork, got proof of delivery.  HSBC says they never got it.  Sent again by fax and mail.  Says they didn't get it. Then a few days later we get a denial letter. In checking our loan paperwork we find several copies of different pages, don't think everything is there, title company sent someone to our home, in a snow storm for us to sign the paperwork, title company is out of business. We requested a full copy of the signed paperwork over a month ago, we sent this certified, return, receipt, requested, they got it.  The State Banking Commisson also sent a request, NOTHING. We now get a letter stating they have sold our account to Caliber Home Loans. This is all in the middle of a loss claim for hail damage.  They have the money from our insurance  company, the roof needs to be replaced, siding needs to replaced, decks need repairing and painted, gutters have to be replaced.  This has all been going on since June.  We have had a couple of weeks of nice weather, but bothing has happened and they hold the purse strings.  We have had snow now and it freezes at night now, we are in Montana. I am going to sue them, on my own and would appreciate any help someone might be. I WOULD LIKE TO START A CLASS ACTION LAWSUIT IF ANYONE IS INTERESTED. ",  Mortgage Companies ,0
" Ocwen Loan Servicing, LLC ","  Ocwen Loan Servicing, LLC  PO Box 24736 
West Palm Beech, Florida USA ",www.ocwen.com, 7072804384,," My mortgage was sold to Ocwen several years ago, around 2008. After the houseing bubble my mortgage was upside down. I was about to just let them forclose. I was offered this Loan Modification. I carefully read the contract and asked many question. Problem one. Each rep I spoke to was from India at a call center. They extremly difficult to understand. I would ask a question and get different answer each time from the different reps. I never could speak to the same person. I would ask to talk to a supervisior and convenitly disconnected. They would make an appointment to call me and not call. When I would call them they reported I did not answer phone. Yet another call appointment would be made. It is almost impossible to understand these people when they speak english with their broken English. I requested in wrtting to speak to a rep who spoke English as their primary langage. I also ask for ""one"" contact rep to talk to on a consistant basis. I was told that would not be possible. Finally the Loan Modification was approved Spring 2012. Problem two. September 11, 2013 I have a buyer to sell the house, contract is agreed on and written. I asked for my Loan Payoff they said I had to pay for an apprasial at the cost of $480. The buyer and the Title had an apprasial done by a 3rd party. This apprasial and the contract was faxed to them. First the claim they did not get the Fax. After several attempts to communicate they reciev fax and now insist on another apprasial by yet another 3rd party apprasior be done at my expense. Somewhere they say they have a rule they need their own apprasior..... BULL! By this time six weeks has past. Still no payoff. I have spend at least 600 minute myself, plus the title company has spent near 10 hour talking to the reps. Each time a new none english speaking rep. Still no pay off Nov 5, 2013 What can be done about this Company? I believe what they are doing is unlawful!  ",  Mortgage Companies ,0
 Select Portfolio Servicing Inc. ,"  Select Portfolio Servicing Inc.  Salt Lake City, UT 84165 
Salt Lake City, Utah USA ",www.spservicing.com, 7139044444,, Can someone tell me what is going on with this company?  Are they for REAL or a SCAM?  I feel like we have been paying and paying and we still owe more than our house is even worth.  The interest rate is 7.47% but I can't refinance bc the balance NEVER goes down!!   ,  Mortgage Companies ,0
 Bank of America ,"  Bank of America   
Springfield, Oregon USA ",www.bankofamerica.com, 714-238-9098,,"  In March of 2007, I refinanced my primary residence, paid off Chase Bank, and obtained a mortgage from Taylor, Bean & Whitaker Mortgage Corp. I entered into an accelerated payment plan wherein TBW withdrew ½ of my monthly mortgage payment every two weeks from my checking account. The last automatic transfer was taken from my account in July of 2009.   In August of 2009, I went on an extended business trip and when I returned in mid-September I received a letter from Bank of America saying I was in default on my mortgage and they were going to initiate foreclosure proceedings if payment wasn’t received within 10 days of the letter. I received the letter two days after the ten day deadline. I immediately called the number listed in the letter for BOA and was told that this notice was sent in error. I was informed that BOA purchased the assets of TBW and CountryWide Financial but how that impacted upon my particular loan was unknown and BOA could not accept payment from me until they determined whether they actually owned my mortgage or not. They recommended I make deposits into a personal account and hold it until the investigation was complete. I received letters from BOA informing me that my account was delinquent and they were going to initiate foreclosure proceedings in both October and November of 2009. I called BOA both months and attempted to make payments but was informed on both occasions that they could not accept payment from me.   In November of 2009, I spoke with an attorney for BOA who informed me that this situation could potentially take years to resolve and recommended that I seek personal legal advice. I consulted with an attorney who advised me that this would likely require a lawsuit to quiet title to the property and could be very expensive. He also suggested that since I was upside down on the mortgage, I offer to give up any interest I had in the property in exchange for any future claim. I eventually negotiated an agreement ( I thought) with BOA where I agreed to provide them with a quitclaim deed to the property. I signed the deed and returned it to them in May of 2010. In September of 2010, I received a trustee’s notice of sale saying ReconTrust was going to sell the property in February of 2011. I lost my job in December of 2010 and became unemployed on January 1, 2011. The sale was subsequently postponed to April of 2011, then August of 2011, and then it just disappeared from ReconTrust’s website. I continued to live in the residence until October of 2011 when I relocated to Portland for my new job. I notified BOA that I was moving out and the house would be vacant.   I was unemployed from January of 2011 until November of 2011. As a result of my extended unemployment I filed for a chapter 13 bankruptcy in June of 2012. My credit report did not show any record of the BOA mortgage but the quitclaim deed had not been recorded and the County deed records still reflected that I owned the property. My attorney was adamant that I needed to list Bank of America as a secured creditor on schedule A of the bankruptcy and so I did.   Attorneys for BOA requested a written confirmation that I had moved out and was surrendering the property to them. We provided them with the confirmation and they then filed a motion for relief from the automatic stay. We did not oppose the motion and it was granted in September of 2012. The chapter 13 plan was confirmed in October of 2012.   In May of 2013, I received a call from a reporter asking me about a fire at the property. I discovered that squatters had moved in and set fire to the property. I notified BOA and was told I needed to file a claim with the insurance company BOA had taken a policy out with. They provided me with the contact information and I filed a report. I received an insurance settlement check in June of 2013 for the amount of $106,396.77 made payable to my ex-wife, myself, and BAC home loan. Both my ex-wife and I endorsed the check. I have called several different people at BOA during the last five months and everyone says they cannot accept the check, nor can they endorse the check so we can get the house repaired.   In August of 2013, my new wife and I talked with a mortgage broker about buying a home. We disclosed the BOA situation and the bankruptcy. He pulled credit and verified that BOA had never reported the loan to any reporting agency. He then issued a pre-approval letter for a VA loan with the understanding that we would need to get approval from the bankruptcy court to make the purchase. We made an offer on a house and it was accepted. The closing date was set for Sept 25, 2013. Notices were sent to my creditors and no one objected. The bankruptcy judge signed an order allowing the purchase of the property.   During the underwriting process, it was discovered that BOA had reported the loan as delinquent to FHA and therefore my SSAN was flagged in CAIVRS. The CAIVRS flag meant that I was ineligleble for any federal loan program. The underwriter sent a request for waiver due to extenuating circumstances to HUD and we received a written response back from Mr. Jim Sorrentino on Sept 24th had confirmed with the Albany processing center that the CAIVRS would be automatically cleared on October 1st.  The CAIVRS was not cleared on Oct 1st and since the government was closed down we could not reach anyone to clear this up. Once the government shutdown was ended we received another response from Mr. Sorrentino saying that since BOA was reporting the mortgage as actively delinquent there was nothing they could do to clear the alert.   We both, lost the house and incurred a financial loss as a result of this. During the last few weeks I’ve had multiple conversations with BOA people. The first person informed me he was my account manager and that he’d put in a request for review and someone would contact us within 7 – 10 days. I informed him I’d been told this before and he said that if someone didn’t call me back I could call him back and he’d submit another request for review. I eventually received a call from a Falisha Ward in the short sale department who informed me that I was not eligible for a short sale since my credit score was too high. She referred me to customer service who informed me that I could not do a deed in lieu of foreclosure until after I had attempted to do a short sale. I explained that the house burned down so there really wasn’t anything to sell other than a burned out shell and the land. I also explained that my credit score was over 620 which apparently means I can’t do a short sale. According to the customer service rep (Kevin) the reason BOA is not reporting the loan as delinquent to the credit reporting agencies is that the file is marked as paid in full and closed. However, there is a separate FHA file which reflects the loan as being delinquent.   Four years now and no closer to getting anything resolved.  BOA won't close the case and file a claim with FHA, We can't buy another house until they do, and our former neighbors are left with a burned out house bringing down property values. ",  Mortgage Companies ,0
 Ocwen Loan Servicing ,"  Ocwen Loan Servicing  12001 Science Drive, Ste. 110 
Orlando, Florida USA ",www.ocwen.com, 714-447-4400,,"  17:56:29 2013-11-03   I purchased my home in January of 2006 in a suburb of Memphis, TN. I fell behind on my mortgage when I was laid off my job. I came home one day to find a foreclosure lock on my door. I had to pay a locksmith to cut me into my own home. Unknown to me at that time, Ocwen Loan Servicing had paid men to come into my home and tape down my toilets, place antifreeze down my pipes and completely trashed my home. I couldn't afford an attorney at the time so I simply cut my way into my home. Several months later while I was looking for work and kept getting denied employment, an HR official from one of the companies I had applied at told me I had a foreclosure showing on my credit report. [continued below]....
									
										..... I was shocked. I had been making my mortgage payments to Ocwen and they had been accepting them. I called the IRS and was also informed ""Ma'am, a foreclosure is showing reported on your home"".  I called up to Ocwen and reached one of their Indian associates in India and told him I was reporting as foreclosed to the credit bureaus. Do you think he cared? no. He didn't even apologize. He simply removed the foreclosure from the credit bureaus and from IRS. Fast forward to now, and this past June I feel behind on my mortgage again and called Ocwen to inquire about my options. I was told I only had one option which was the loan modification. I knew I would not be approved for the loan modification and requested the repayment plan which I knew they could do over the phone. I was told no. Your loan doesn't qualify. I asked why. No one could say. I called Ocwen multiple times since I first fell delinquent and they all told me ""No, your loan doesn't qualify for a repayment"". So finally I spoke to Michael Busch, a relationship manager, and he sent me an email that showed repayment was an option. I asked Mr. Busch why had I been told several months straight (by this time I am near foreclosure) that my loan did not qualify and he said I had been ""Misinformed"" and that repayment should have been offered from the start. I was very irate over this because now with me being so far delinquent Mr. Bush was quoting me several thousand dollars I had to come up with in less than one month or I would be foreclosed. I sent emails and letters to Ocwen telling them their agents had misinformed me about my options and do you think they cared? NO. They did not. Mr. Busch for some reason stopped communicating with me and the next agent was Sunil Kumar Jane out of India. He called me up and immediatley began to threaten me. I told him I wanted to apply for the repayment plan and he kept suggesting the loan mod. I use to work in Loss mitigation at a mortgage company and I knew I would not qualify for a loan mod. Finally after much back and forth Mr. Sunil Kumar Jane told me that Ocwen had ""recently changed their procedures"" and that he would need ""bank statements, check stubs, utility bills"" etc. to do the repayment plan. I told him all of this documentation was consistent with a loan mod and he assured me I would need to send this paperwork for a ""repayment plan only"". I thought it was weird but submitted the paperwork. About two days later I get an message on Ocwen's website informing me that I had been ""Denied"" for the loan mod. I was told I was not applying for a loan mod! and had no idea I was even being considered for one as Mr. Sunil Kumar Jane told me the paperwork was specifically for the repayment plan!! So I called up to Ocwen and spoke with Kristi, another India based agent, and she stated that she could see no information in the system regarding any repayment plan. I was shocked. To make matters worse she said that I would not be able to reach the relationship manager, Sunil Kumar Jane, assigned to me as he did not have a contact number. I emailed him but he had never responded back. Finally after several days of trying to reach him he called. He then told me he could not email out and that ""If I had done what he suggested"" which was pay ""several thousand dollars"" up front I would be able to keep my home. He was actually wanting all of the past due amount from several months to be paid in less than one month. I told him if I could do that I wouldn't be behind.  He told me the ""management"" had denied the loan mod and did not give a reason. I then asked him about the repayment plan that no one could see reflecting in the system and he stated I was ""denied"" for that too.  He then started badgering me to borrow money from loved ones and I told him they had no money. Then he said I would need to pay at least $1,500 down to save my home. As soon as I said ok, he suddenly in the next sentence said it was actually $2,000.00. I grew frustrated but said I would try to get it and then he said ""oh we need at least $4,000.00"" in the next breathe. I could not understand why he kept changing his amount. Three different amounts in less than 3 minutes.  I told him there was no way I could get that in less than a month and he hung up on me telling me there was nothing he could do. No one had even yet addressed the fact that for several months when I was calling Ocwen daily I had been misinformed repeatedly about being able to keep my home and what my options were. If Ocwen would have told me at the time I would have been able to pay the downpayment because it would have been much smaller. After I spoke with Sunil Kumar Jane I called back in and spoke to manager Ankur and manager Daniel Lawrence who both stated that I had been misinformed and that Ocwen was still doing verbal repayment plans and that I did not need to fax over any documentation to qualify for a repayment plan, which is what the relationship manager, Sunil Kumar Jane, had told me to do. He told a BALD FACE LIE and engaged in outright TRICKERY and LIES and DISTORTIONS. I sent a complaint to the Ocwen Ombudsman.  Three days later I call into Ocwen and was told no one could even see any notation from Mr. Sunil Kumar Jane regarding a $4,000 dollar down payment he said he needed. They could only see $2,500.00. Why didn't he update the system? During this time Ocwen's agents were still telling me my loan did not qualify for a repayment plan even though the relationship managers were now offering it. Why the confusion? Every agent disputed what the previous one had stated and argued with me. Finally on a phone call I was able to reach manager Cary Dukes out of the Addison, TX office and he was the nicest manager of all. He set me up on a repayment plan that I agreed to. Out of my experience I recorded the call. I recorded the call because Ocwen's people are very picky about what info they put in their computer system and they often place one sentence to sum up an hour's long conversation. Too much information is missing. Everyone disputes your account of what happened too. So a few days after I spoke to Cary Dukes I get a call from Relationship manager Sylvia Malone who threatens me again and demands all of the past due monies up front. She eventually hangs up on me.  Then I get a call from Juan Sagarra (or something similar) who said he too was a relationship manager and he was irate that Cary Dukes had set up the payment plan and he told me ""He is nobody. Just a customer service manager"" and that ""He doesn't have the authority to set up the arrangement"". Now more than a week has passed and I am near foreclosure. I don't know what is going on. The payment arrangement Mr. Dukes assured me would be set up is still not yet set up. No one knows why. I call in and I'm told ""we will investigate and call you back"" and no one ever does. The ombudsmen office is not responding to my many emails or contacts either. The number to the ombudsman office is never working either. I call and call and am told in the middle of the day ""We are not available at this time"". Ocwen has an ""F"" rating with the BBB. I filed numerous complaints with everyone from the Tennessee Attorney General's office to the BBB out of Central Florida to the CFPB (Consumer Financial Protection Bureau) and no one has been of any assistance. How can Ocwen get away with this?  I am considering filing suit against them to have the judge make them honor that contract set up by Cary Dukes. This man assured me he had the authority to set up the aggreement and gave me the terms and everything. It represents an verbal contract. The call was recorded by me.  Ocwen has lied to me coming and going. Broke into my home. Trashed my place. And they are engaging in outright TRICKERY to try and take my home.     ",  Mortgage Companies ,0
 Cash Call Home Mortgage ,"  Cash Call Home Mortgage  1600 Douglas Rd 
Aneheim, California USA ",www.cashcall.com, 724-933-8667,," In the month of September I called Cash call because of an TV advertisement of low interest rate and got the surprise of my life! no loan after giving all my information. I had a high credit score and they pretend that my loan would be handle within (30) days. I spoke with a person by the name of Monica once, she sent out information by Fed Express and I sent back the loan documents and she never contact me again by phone, all communication was done by email and I got suspecious, because their was no phone contact. This place did a title report and had linked me to another person with the same last name by different first name, they also tried to insist I had a judgement againist me when I did not. After I cancel the loan application because I was not comfortable dealing with cash call, a woman whom claim she was a customer service representive contact me and tried to get me to continue with the scam loan, after she realized I only wanted a stream-line loan and did not want to take out any equity on my home the loan process stop. This company started out as a payday loan company, and move up to mortgage loans, watch out for scammers, if it sounds to good to be true most likely it is!!!!!! it is only a matter of time before this place closed down. ",  Mortgage Companies ,0
