 American Family Newberg ,"  American Family Newberg  2855 Hayes St Ste 102 
Newberg, Oregon U.S.A. ",, 7659622006,"American Family Newberg Rip off!  High cost, crap service, over billing? Newberg Oregon","
										According to my records my family and I have over paid Am Fam this last year by 2 payments, however every month I get a passed due notice.  I believe this company has been ripping my family off for years.  Unfortunately it's too hard to switch companies. Ann is rude and is NEVER helpful.  The 20 peices of junk mail from them every month is enough to make you freak out!
Mommyof2
somewhere, OregonU.S.A.									",  Insurance Agencies ,1
 1 St Century Mortgage ,"  1 St Century Mortgage  2003 Southern Blvd. Suite #101 
Rio Rancho, New Mexico U.S.A. ",, 775-786-3577,"1 St Century Mortgage ,1st Century, Homeowners Insurance Leads Buyers Beware:Money equal no insurance leads Rio Rancho New Mexico","
										Contacted by Doug Snyder of 1st Century Mortgage, said he had leads for people who expressed an interest Home Owners Insurance in my area.  Paid for more leads than received. Contacted leads, they had no idea what I was talking about. Complained to 1st Century and was sent three new leads(paid for 135) of people who want to refiance their mortgage. I am a insurance agent.  Sent in cancellation form and money was still deducted out of account.  Doug Snyder referred me to Carol, who has not returned my calls in three months.
JT
Princeton, New JerseyU.S.A.									",  Insurance Agencies ,0
 First Century Mortgage ,"  First Century Mortgage  2003 Southern Blvd #101 
Rio Rancho, New Mexico U.S.A. ",, 775-786-3577,First Century Mortgage Misrepresented nature of their product / loan applicants in need of insurance to complete their mortgage. Rio Rancho New Mexico,"
										I was contacted by First Century Mortgage via phone saying that they had a client near me that needed Homeowners insurance to complete their loan process on a house they were purchasing.  I agreed to help and then I was transfered to Cody James of First Century Mortgage who explained to me that they were looking for Insurance Agents to partner with that would help their clients who were in the process of purchasing a home and that needed a Homeowners Insurance policy to complete their transaction.
Cody said that these leads would be exclusive to me and that if I did not sell the policy, that they would replace that client with another.  He said that these clients will have been working with First Century Mortgage for over a week and are in the final stages of closing escrow.
All of this sounded very good.
Of the first 30 leads I received I left several messages on voicemail, without a single response.  Several disconnected phone numbers.  Several wrong numbers.  I was able to talk to about 10 people on the phone. EVERY one of them did NOT know who First Centry Mortgage was and they were NOT in a loan process or looking for a loan OR insurance.
Tamera at First Century Mortgage, a manager there, will not comment of what I was told about the quality of these leads. She only refers to the ""contract"" where it says that there are no refunds and that she will give me more leads to replace the others. I don't want more names from the phone book to call.  I want either my money back or the quality of leads, or at least close to it, that I agreed to purchase, receive and help and that I was promised.
Tamera, just yesterday, promised me better leads today and asked me to try these ""better"" leads.  I called two about an hour ago. The first not home.  The second, no idea who First Century Mortgage is and they are not looking for a mortgage or insurance.
First Century Mortgage is promising a quality product and says the right words to make it sound like they are legitimate but, delivers nothing more than names and numbers from phone books.  
A complete waste of time for me and the poor people I actually get a hold of.  Their actions are criminal and they should be prosecuted.
Jared 
Fresno, CaliforniaU.S.A.									",  Insurance Agencies ,0
 Craig Davis At Farmers Insurance ,"  Craig Davis At Farmers Insurance  1320 E Valley Pkwy Ste E 
Escondido, California U.S.A. ",, 775-786-3577,Craig Davis At Farmers Insurance No disclosure and poor service Escondido And Temecula California,"
										When I opened my home policy with Craig, he was more than happy to help me.  However, when I canceled my policy, he did not disclosure there would be a penalty.  When I contacted him about it, he just brushed my aside and told me that he did not deal with it.  I had to go to his assistant.  I guess he is too busy for helping his clients with issues.  He does not fully disclose to his clients and provides poor service.
Biz7922
Sun City, CaliforniaU.S.A.									",  Insurance Agencies ,0
 Liberty National Life Insurance ,"  Liberty National Life Insurance  3910 Old Highway 94 South 
Saint Charles, Missouri United States of America ",, 775-786-3577,"Liberty National Life Insurance Company REVIEW: Commitment to Liberty National Life Insurance Company executive team and employees are committed to customer satisfaction. Liberty National Life Insurance Companys approach to business is focused on providing the highest customer satisfaction in the industry.*UPDATE: Liberty National Life Insurance Company pledges their commitment to always improving their operations by joining Ripoff Reports Corporate Advocacy, Business Remediation & Customer Satisfaction Program. A program that benefits the consumer by increasing their confidence when doing business with a member business. Recognized by Ripoff Report as a Verified Safe Business."," Ripoff Report REVIEW:
EDitors UPDATE: Positive rating and recognition has been given to  Liberty National Life Insurance Company  for its commitment to excellence in customer service.
Ripoff Reports discussions with Liberty National Life Insurance Company has uncovered an ongoing commitment by the company to total client satisfaction. This means that clients can expect that the company will work towards finding a mutually satisfactory resolution to any complaints or concerns. Liberty National Life Insurance Company listens carefully to client concerns and sees them as an opportunity to learn from past mistakes and become more efficient as a company in the services offered and the support for those services.  Liberty National Life Insurance Company has been in the insurance business since 1900. We offer affordable life and supplemental health insurance through in-home and workplace sales. Providing local, one-on-one service to our customers is something we've done from the beginning. While automation is the way of the today's world, it won't replace our individual attention to Liberty National policyholders. Insurance can make the difference in a family keeping their home, a child going to college, or having enough money to pay bills each month if a family breadwinner dies. Liberty National Life Insurance Company is passionate about helping hardworking Americans protect their families. We look forward to helping you protect yours.
Liberty National Life Insurance Company, headquartered in Birmingham, Alabama, has been meeting the insurance coverage needs of families for over 100 years, dating back to 1900. Liberty National is a wholly-owned subsidiary of the Torchmark Corporation. Torchmark is an S&P 500 company traded on the New York Stock Exchange under the symbol TMK. 
Liberty National Life Insurance Company also offers an excellent career for motivated individuals looking to earn what they are worth. Earning potential is unlimited!  With just seven to eight sales per week, agents have the potential to earn from $50,000 up to $75,000+ in the first year with valuable tools like laptop presentation at your fingertips. Liberty National believes in personal, dedicated service for insurance needs.  We are committed to providing agents with full support, quality training and competitive compensation. Joining Liberty Nationals sales team could open the door to an outstanding income and a whole new lifestyle. Liberty National Life Insurance Company has immediate needs to fill several positions. We are looking for both entry level and senior level applicants.
In summary, Ripoff Report is convinced that Liberty National Life Insurance Company is committed to quality delivery of services resulting in total client satisfaction.Read more about why consumers should feel confident when doing business with a member of Rip-off Report's Corporate Advocacy Business Remediation & Customer Satisfaction Program.  Yes, its a long name for a program that does a lot for both consumers and businesses alike. Read about Rip-off Report Corporate Advocacy Business Remediation & Customer Satisfaction Program,.. A program that benefits the consumer, assures them of complete satisfaction and confidence when doing business with a member business. this program works. SPECIAL NOTE ABOUT THE ONE REPORT THAT WAS FILED ABOUT Liberty National Life Insurance:
Liberty National Life Insurance Company recognizes that complaints posted on Ripoff Report (whether true or not) are issues that need to be addressed, not ignored.  One company executive agreed that, if handled correctly, complaints can be valuable learning opportunities. With the feedback generated by Ripoff Reports Review of Liberty National Life Insurance Company has made organizational changes allowing its clients, employees and agents a more streamlined approach to problem resolution and a commitment to a great client experience. 
As a Part of the Corporate Advocacy Program the member business allows Ripoff Report to send an email to all of those who filed a complaint in the past, letting the customer know, the member business wanted to make things right with them, .. whatever it takes to do so. Ripoff Report always monitors these emails to insure the member business does what they agreed to. The people at Liberty National Life Insurance Company did just that.
=====================NOW TO THE ORIGINAL REPORT THAT WAS FILED  
===================== 
Liberty National Life Insurance St. Louis Branch 638 Unprofessional crude rude tasteless juvenile behavior untrusting unreliable unorganized disrespectful Saint  Charles Missouri Where to start...well as a veteran agent of Liberty National, I will admit that there is definitely money to be made there.  I've been in sales for all of my adult life thus far...I'm 29, single mother here.  Anyways, I can only speak for my experiences as well as what I have witnessed and I will leave you all with this to sum it all up...Letter to Regional Director: (who did absolutely nothing which is surprising for the fact that 3 others sent him emails of similar complaints of disrespect, foul mouth management, ridicule, unfair treatment, racial remarks, and the list goes on and on and on...Dear Mr. Roger Rich,Per our conversation on June 11, 2009, at your request, I am composing this letter to express my concerns regarding the management strategies of Branch 638 and my desire to resign.  Oh, please forgive my poor transition...I'm just getting this all out and not even attempting to be eloquent about it.  It is what it is!There have been several situations that I, as an adult possessing integrity and honesty, can no longer bring myself to work for Monica Burgess and Todd Baxter.  I have never in my life had to deal with such contradictions, hypocrisy, rude, and disrespectful people in my life.  Unfortunately I am not the only person with these concerns.While working the field with my UM, Monica, I witnessed her bash other employees, another UM, as well as the BM.  People's jobs are in jeopardy each day depending upon the mood she is in.  I've witness her acknowledge that she felt certain employee's were ""worthless, lazy, pieces of sh**, fu** them"".  I've heard her tell Agents on the phone that ""excuses are like a**holes...everybody's got one"".  Her personal dislike for particular people are made clear by her demeanor, disposition, as well as her own statements voiced aloud in front of their peers.I ran with her for nearly 1 month, then ran with her and Jennifer Criss who was shortly after pulled from working with me because she had children she had to attend to by 6:30 pm.  Then I worked with Karen Vallor, who's father recently passed away and had to attend to her mother on occasion who is a retiree.  Monica literally said, ""I'm done w/them, they are on their own"".  Soon after, again, I started over again running with solely Monica until somebody ""with a work ethic like myself"" was found.  I'm here to make a living, not friends but I myself understand that people have loved ones, and other responsibilities other than pacifying this person.Needless to say, it's now week 9 for me and I've been running with Jessica Eversmeyer, who is about 5 weeks in this company, for 2 weeks now.  I feel that after getting off that roller coaster, and running solely w/Jessica, we have found a groove and developed a great system.  However, yesterday a situation happened between Monica and Jessica that was totally uncalled for.  I heard the conversation from the next room.  Never in my life have I ever seen and heard a person mistreat others as Monica does and what's even more disturbing is that Todd condones it.  I refuse to work for people who have no respect for their employees.  It was everything Jessica had in her to not run out of that office and never look back.  The sad thing is, Jessica was not the only person that Monica snapped at that very day.Additionally, we have asked for a Sales Genie list and have been told flat out ""NOPE!""...no reason, no explanation at all, just ""NOPE""!  Who does that?  Not Managers!  I've expressed my concern regarding the reasoning behind the cold shoulder and where I stand for I did not know if I even had a job the next day after taking 1 personal day to attend to my son and I was assigned ""homework"" to list my commitment to my Branch...bit ridiculous in my eyes considering just 2 weeks prior to I was told in confidence by Monica that she was taking a branch and she wanted to take me w/her to help her build it and that I was the only one within the branch that she wanted to take...now what changed? I hadn't...except for 1 day out.  I graduated high school in 1998 and I have no desire to return.  I'm an adult, and I carry myself as such.  I'm not doing homework at 9:30 pm on a weekday for a tasteless UM on a power trip that is obviously throwing their weight around.I understand Monica's #3 UA UM and I could honestly careless-it means nothing if at the end of the day the only person left within that branch is the BM.  Dealing w/individuals sales and running an office w/your Branch manager only vs. running a branch w/numerous units as well as dealing w/business owners is a totally different ballgame.  There has to be some level of trust, flexibility,  & consistency amongst the Branch, units, AND these business owners. We have been forced to push our prospective clients into enrollment dates that are not feasible for them.  We have been forced to drop in on prospective clients whom we consistently have kept the lines of communication open to push paperwork out of them.  I do not know about you but I'd trust my agent that has the report to handle their deal not intervene and push and subsequently lose the entire case especially when the agent has given no reason whatsoever that they are not performing.  Bottom line, if I'm doing what I'm told, bringing in paperwork, and have proved myself please allow me to run my deal I see fit since I'm the one w/my hands in it...not somebody who has no idea about the case or the ongoing communications.This past Monday I attended the mandatory recruiting session as I have gone to each & every one since the weekend prior to my start date.  The majority of the time the dialer is not set up, the internet is down, or they are just too busy as UM and BM to get us going on the calls.  We waited patiently Monday for 2 hours before we were given anything to call and recruit on.  I understand things happen but we are micromanaged to the point where it is known and practiced that we come prepared and ready to go ""no exceptions no excuses"" and we abide by this rule.  Our time is just as valuable and should be respected as us agents do theirs.I have always been a hard worker, been at plan, hit my #s, and have been known as a Top Performer.  I would love to recruit people into LibNat but I will not recruit for this branch.  Knowing what I know, and experiencing what I have experienced, I lack the capacity to bring another person into 638.  I am absolutely bewildered and floored that this is acceptable behavior.Since the 1 personal day off I have been snubbed, trashed, and have been informed that Monica has advised my own partner ""do not tell Lisa"" about situations that I have had a part of.  Regardless of how big or small, it's the point:  I do not need it, I do not want it, and I definitely do not deserve it.I'm not walking on pins and needles any longer.  I'm not stressing if a deal I partook in will be given to somebody that's on her good side/buddy list/safe list that day or that week.  It's asinine.  I understand what I'm about to leave behind, a few deals and a few friends but I'm not subjecting myself to this nor will I sell out my 4 year old son for this particular branch who could obviously careless about the 16 hour days I put in as an Agent.The array of individuals that come in and out of this branch should be expected from here on out.  I hope that you understand my level of frustration, for I've got a lot in to this.  I do apologize for inconveniencing you after business hours however I felt it of utmost importance that these issues be looked into.  I would have contacted Tim Knuckles whom I have utmost respect for but after witnessing Mike Rivera get trashed, backstabbed, and disrespected I felt the least Tim could have done was maybe research his accusations and his side of the story.  It is common knowledge within this branch to be vague, to the point, and discuss nothing in detail about your deals-it's a ""needs to know basis"".  I've been warned by other UM and agents to watch who I talk to in the office.  I've been told, as if I'm a child, to not speak to particular people by my UM and BM!!!  Again, not the only one to have experienced these juvenile and bogus restrictionsI'm not looking to seek revenge for it's not in my nature...but my objective for this composition is to hopefully be a voice so that somebody can intervene and salvage some great people that are currently there.Please feel free to contact me should you have any questions or need names and #s from others who said that they are willing to voice their concerns as well.Thanks for your time and consideration,Lisa 
(((ROR redacted)))Letter of Resignation:Lisa
123 No Way Dr.
Somewhere, USA 90210
(((ROR redacted)))June 12, 2009To Whom It May Concern:I, Lisa , am composing this letter as my formal resignation.  Under circumstances beyond my control, I no longer have the capacity to work for Liberty National Branch 638.In nearly a decade of sales and sales management, I have never seen the behavior and practices that I have seen within this organization.  I have witnessed lies, manipulations, backstabbing, disrespect, and such juvenile behavior that I find unacceptable to tolerate.The lack of consistency, integrity, and trust has been made crystal clear to me over the last few weeks.  During my short-lived career here I have been told whom to associate with, what to say to others, and what not to say to others including my branch manager, other agents, and UM.I pride myself on being a straight shooter, honest, integral, and hard working.  I refuse to assist in the recruiting of more individuals into this branch for I would not work here myself.  If I can't give it away, how could I sell it?Working here has been like being in high school again.  When expressing my concerns and frustrations to my UM, I was assigned homework-literally.  My opinion is that a UM should converse amongst their staff and trouble shoot the situation in hopes of rectifying them-not ridicule an agent who clearly has worked hard, proven themselves, and stays positive all while being backstabbed and micro managed.I could give example after example of instances where I've been disrespected, uncomfortable, and worn thin but to be perfectly honest, why on earth would I put more time into this Branch?  I won't.  I do not need this, I do not want it, and I most definitely do not deserve it.I do apologize for this inconvenience however as of Wednesday when my partner was spoken to like dirt, I started weighing out the pros and the cons of this position and unfortunately it was 17-1 in favor of the cons.  We ran our tails off Thursday staying strong, staying positive and by day end I finally broke down and informed my partner of my decision which surprising to me-was on her mind as well.I've done nothing but do what I'm asked and work hard for my family but it has gotten to the point where any question that I ask is ridiculed, second guessed, or twisted into something that is totally in left field and off the wall.I need stability not only professionally but mentally from my branch so when I walk into the office and I do not know where I stand due to a UM's mood, it's time to move on.  Zebras do not change their stripes therefore this will always be uncomfortable, inconsistent, and a hypocrisy of what is really trying to be accomplished.I find it sad and unfortunate for the simple fact that one month ago I thought I had finally sunk my teeth into a career with an amazing compensation plan, bonus structure, benefits and great people to work with and forbut the writing on the wall is there and it's time to move on.Thank you for allowing me the opportunity to have this experience for it has been one that I will never forget.With utmost sincerity and regards,LisaNEEDLESS TO SAY...SEVERAL PEOPLE, HARD WORKING, HONEST, INTEGRAL PEOPLE HAVE EXPERIENCED THESE SAME ISSUES, YET NOBODY HAS OFFERED A TRANSFER TO ANOTHER BRANCH.  THEY ALL, INCLUDING MYSELF, HAVE BEEN DISREGARDED AND THROW OUT AS IF WE PUT NOTHING INTO THIS.  KEEP IN MIND...3 PEOPLE IN 2 WEEKS WENT TO THE HIGHER UPS AND IT WENT NOWHERE...THIS HAS GREAT POTENTIAL BUT THERE'S NO WAY I'D RECRUIT ANYBODY TO WORK FOR 638.  THEY ARE MISERABLE MONSTERS W/NO REGARDS FOR PROFESSIONALISM AND DEFINATELY DO NOT KNOW A THING ABOUT B2B.  THEY ARE BETTER OFF REMAINING A UA BRANCH WORKING THE INDIVIDUAL MARKET-IN MY OPINION. CLICK here to see why Rip-off Report, as a matter of policy, deleted either a phone number, link or e-mail address from this Report. Miss lisa
Fenton, MissouriU.S.A.									",  Insurance Agencies ,0
 Mega Life - Healthmarkets- Sonny Berry ,"  Mega Life - Healthmarkets- Sonny Berry  Rt 460 
Blue Ridge, Virginia U.S.A. ",, 775-786-3577,Mega Life - Healthmarkets - Sonny Berry And Kin Lmao Its all over but the crying!! Blue Ridge Virginia,"
										Finally ! Sonny Berry and kin have thrown in the towel ! Lmao He now plans on being a Allstate agent. That wont fly either since a real insurance company will not put up with the lies and Bs that comes with him and clan. To bad a weasel like him was allowed to  destroy over a thousand newbie agents and countless policy holders who got the shaft by ""SuperHag"" lying and wearing miniskirts. This is proof that you get whats coming to you eventually !!!
This is so laughable I cant hardly type. Maybe you can sell used cars next 
that may be more your style Lmao
Adios and good riddance
Done
Roanoke, VirginiaU.S.A.									",  Insurance Agencies ,0
 Hillside Financial ,"  Hillside Financial  121 South Orange Avenue 
Orlando, Florida U.S.A. ",, 775-786-3577,Hillside Financial-Mark Hamilton FRAUDULENT COMPANY-SCAM Orlando Florida,"
										I along with several others fell for the Hillside Financial scam. I was contacted regarding an on-line loan application I filled out. I sent them the first 4 payments and was told my loan would be in my account the next day. The next day I was contacted and told that the lenders insurance company would not insure the loan unless I made an additional 4 payments. Like an idiot, I wired them another 4 payments. I was told the money would then be in my account the next day. The following day I was contacted by Mark Hamilton and he told me that the department who deposits the money was backed up and that I would have it by the next day. Well the next day was a Saturday, and of course the money was not deposited. It was not until Monday that he contacted me to tell me the loan company had backed out. He said that they had found another lender who would take my loan if I would send them another 8 payments. Of course, by then I was beginning to wonder about this company. I argued with them on the phone and demanded my 8 payments back. I was informed that the lender only did refunds on July 13. I have asked Mark Hamilton several times to fax me something in writing that I would receive my money back no later than July 13 and have not received any fax yet. I am not sure what else to do about this. If anyone has any advice please feel free to contact me. 
(((REDACTED)))
Anonymous
North Augusta, South CarolinaU.S.A. CLICK here to see why Rip-off Report, as a matter of policy, deleted either a phone number, link or e-mail address from this Report.  ",  Insurance Agencies ,0
 Credit Pro ,"  Credit Pro  detail.getbills.com/EBD/Lazarus/cppopup.html 
Nationwide U.S.A. ",, 775-828-4653,Credit Pro They charged me for a credit protection plan that I did not approve nationwide *NOTICE..!! this ripoff has nothing to do with Google search engine - many rip-off businesses use the Google name to fool consumers.,"
										After having 6 months of deferred payment for mattresses I purchased from Macy's I received an amount charged on my May statement for $75 for a credit protection plan from Credit Pro that I did not authorize.
Karen silton
Woodland Hills, CaliforniaU.S.A.EDitor's Suggestions on how to get your money back!  HERE IS WHAT RIP-OFF REPORT SUGGESTS YOU DO:  
Go to your bank within 60 days of the charge, or as soon as you know about the charge, don't delay, and tell them that there has been fraudulent activity within your account.  Explain that you wish to file a dispute, and demand that they assist you in accordance with Federal Regulation E.  
According to the majority of victims interviewed by Rip-off Report, those who immediately called their banks to dispute the charges did not get very far.  Many victims got the following responses from their banks: we could not do anything for you or you waited too long; it has been more than 60 days. 
If the bank is says that you have waited too long, explain to them how you called their 800 number as soon as the charges were found, and were told by the bank that nothing could be done.  Remind the bank that they failed to assist you properly at the 800 #, and instead, provided you with an inadequate explanation of your right to dispute.  Tell the bank that it's their fault time has expired, and since they gave you the wrong info to begin with, they will just have to deal with it, take the loss and reverse the charges. 
Tell them the truth; this was unauthorized and your account was NOT to be charged! Keep emphasizing how you never authorized anything!  Direct them to the hundreds of victims reports that were filed on Rip-off Report.com.  And if you're at the bank, walk them over to their computer and make them go to this site!  If you are on the phone with them, tell them you will wait while they access this site!  Either way, be persistent!   DO NOT TAKE NO FOR AN ANSWER!  
Let them know nicely, that you were advised to Report them (the Bank) and this situation to the Banking Commission in your state.  Since each state has a different name for the agency/controller over banks, find that name before you call or get to the bank so you can throw it in their face. The more knowledgeable you appear to be, the further you will get.  
And just continue to demand the Federal Regulation E form! The bank CAN, MUST and WILL reverse the charge!  But, you must be persistent; ask to speak to the supervisor or the area manager for all the branches in the state.  
Let the bank personnel know you are meeting with the media later in the day, that you would much rather they do the right thing (as most other banks have) by looking at the complaints and immediately reversing the charge(s) to your account; no matter how long ago it was.  Be sure to call the Media if necessary so you are telling the truth. 
If you have to, be loud (but nice) in front of other customers. If you are just calling by phone, the above tactics should still work. The bank can easily fax or mail to you the Federal Regulation E dispute form. CHARGES TO YOUR CREDIT CARD 
If the charge was to your credit card (not debit card, check card, or checking account), contact the credit card company as soon as possible to request a dispute form. Consumers usually have a little longer to dispute fraudulent credit card charges (up to 6 months), but it is better to act right away.  In this type of situation, credit card disputes are usually successful since fraudulent companies often won't contest the disputed charge.  In rare cases, credit card companies will review disputes, but refuse to reverse the charges.  If this occurs, complain to a manager and let them know you will be filing a report here.   
Remember Don't let them get away with it!   Make sure they make the Rip-off Report .. The more Reports filed on a Company or individual, the more likely it is that the authorities, media and attorneys will want to take action. 
 And good luck Let us know how you do! 
ED Magedson  Founder 
RipoffReport.com 
Author of www.ripoffrevenge.com 
Rip-off Report
PO Box 310, Tempe, Arizona 85280",  Insurance Agencies ,0
 A.I.G ANNUITY INSURANCE ,"  A.I.G ANNUITY INSURANCE  66398 DoveDale Road NE 
Seattle, Washington U.S.A. ",, 7783162961,A.I.G ANNUITY INSURANCE/ BNY Mellon Trust Of Deleware This company sent me a fraudulant check They obraines my information from the internet without my permission Seattle Washington,"
										This company obtained my info from the internet without my permission i now feel i need to change my social security  and all info that is personal to prevent this from happening again
Meeka
victorville, CaliforniaU.S.A.									",  Insurance Agencies ,0
 Denise Wardwell ,"  Denise Wardwell  6111 Fm 1960 Road West Suite 210 
Houston, Texas U.S.A. ",, 781-9449930,"Denise Wardwell Advised me I could not file claim, would not stop calling mortgage co to get payment AFTER I cancelled with her repeatedly, showed up at my brother's job, threatened him. Houston Texas","
										I signed on with Farmers homeowners' ins several years ago.  My first agent was several months late in submitting my payments for my coverage and eventually went out of business.  I was informed I had a new agent, who did nothing but repeat the former agent's work and was generally ignorant regarding my policy.  I looked for a new agent and found Denise Wardwell, who was very nice and efficient, at first.  My brother signed on with her just before I did since he was purchasing a home.  Shortly after I signed on with her, my brother told me she showed up at his job!  He was not happy, she had no reason show up there since he had already submitted his payment to her.
I had a water pipe leak in my home.  The pipe ran through the foundation and my plumber said it would be too destructive to locate so he rerouted the line through the attic.  When I tried to file a claim, Denise Wardwell argued with me saying I could not file a claim since my foundation was not covered.  No matter what I said, she insisted it was a foundation issue and my foundation was not covered!  It was a plumbing issue!!  She then advised me to insure my foundation and increased my premium.
Later hurricane Ike came and she informed me that I could not file a claim because my deductible was too high.  I did not file a claim and then looked for another agent.  When my brother tried to file a claim she told him he could not since his deductible was too high.  In fact, my brother has a very low deductible.  He searched for another agent and informed her she was no longer his agent.  Denise Wardwell then called my brother, telling him that she did not like the policy the new agent drew up and that she was going to report the new agent to the insurance commission.  My brother told her to never call him again.
I immediately changed agents to my brother's new agent as well.  I sent a letter via email, letting Denise Wardwell know that she was no longer to be be my agent.  
My Texas Windstorm was due after my renewal on my homeowners and anticipating Denise renewing the policy in spite of my 'firing' her, I called my mortgage company and my new agent.  I instructed my mortgage company that Denise Wardwell was no longer my agent and to not disburse premium payment to her.  As predicted, Denise renewed my homeowner's policy.  I immediately called the mortgage company again, and they transferred the fee to my new agent.  My Texas Windstorm was up for renewal several months later and in anticipation of the same issue, I called my mortgage co and instructed them not to pay Denise Wardwell and that she tried to receive payment previously when I had told her I had a new agent.  Again, she CALLED my mortgage company and demanded payment.  I did not know this until I recived my new policy with her name on it.
I called my mortgage company again.  While I was on the phone with my mortgage company, they called her to confront her and instruct her to refund my money.  She did not answer.  I will be reporting her behavior to the insurance commission.  She will not go away and I formally composed a letter to her when I met my new agent.  My new agent sent her a letter as well.
This is unethical behavior and she has forced me to have her as my agent by renewing my policy in spite of my informing her that I changed agents.  
SM
Sandra
Dickinson, TexasU.S.A.									",  Insurance Agencies ,0
 VALUE BENEFITS OF AMERICA INC ,"  VALUE BENEFITS OF AMERICA INC  15575 N 79TH PL 
Scottsdale, Arizona U.S.A. ",, 786-363-3300,VALUE BENEFITS OF AMERICA INC They keep charging my credit card when I have already cancelled!! Scottsdale Arizona,"
										This company is trying to take money from people. They charged me without me ever giving them consent in the first place and when I called to get my money back they charged me AGAIN the next day. They can take money out of my account in a day but for some reason it takes weeks to get it back. Every person I talked to at this company doesn't care at all either, this is standard practice from them for sure. Don't ever get any insurance that has anything to do with this company.
Mrjones123
las vegas, NevadaU.S.A.									",  Insurance Agencies ,0
 Citiwide Lending Group ,"  Citiwide Lending Group  cwlg.net 
Internet U.S.A. ",, 800 9923522,Citiwide Lending Group mortgage lead ripoff  Internet,"
										too good to be true.  I was contacted by fax and phone to purchase leads for individuals who were closing on home purchases and did not have insurance secured yet.  all i ever received were leads from people who had visited their web site and inquired.  never received a single lead that panned out.
the company no longer answars the phone or sends leads out at all.
Charlie brown
BURIEN, WashingtonU.S.A.									",  Insurance Agencies ,0
 TriState Financial Network - National Agents Alliance ,"  TriState Financial Network - National Agents Alliance  4718 Creektree Ct 
Louisville, Kentucky U.S.A. ",, 800-214-6416,TriState Financial Network - National Agents Alliance Terminated and stole my team once I had established an Agency. Louisville Kentucky,"
										I started with National Agents Alliance through Mike Lewantowicz in June 2006.  I worked this business on a part-time basis until building it to an income I could afford to leave my full-time position in October 2007.  I have several prior Agency Managers who said they will testify to my experience and most of whom experienced the same.  
I worked my NAA independent business on a part-time basis eventually building my agency into 140 agents in 28 states.  I was on several national conference calls with the founders of the company.  The mortgage crisis hit and I went looking for additional income sources to help support my business since I was supposed to be ""independent"".  Mike Lewantowicz decided to have me terminated without ANY official notice from him or National Agents Alliance because I contracted to sell health insurance to support the downturn in leads.
We had the fastest growing team in the Alex Abuyuan Master Agency.  I discussed the fact of me leaving a 15 year career to pursue this business with Alex and Mike.  They both stated how they were behind me.  I was never given official notice of my termination except from the carriers.  NAA corporate never responded to any of my requests for status.
I have spent $3500 in attorney fees to date.  We are looking for other Agency Managers who had this same situation happen to them who are willing to share their experience for a class action lawsuit.  National Agents Alliance, their owners, Mike Lewantowicz, Alex Abuyuan, and others will be named.  
If anyone has interest in contacting me or questions concerning National Agents Alliance or Mike Lewantowicz's TriState Financial Network, you may replay to this posting.
I'm sorry to have to do this, but my family has suffered greatly do to the activities of Mike Lewantowicz and National Agents Alliance.  I have lost significant income and it's time we made a statement to shut down their illegal activities.
I sincerely say this to anyone considering NAA as a long-term business opportunity, run.  You are playing with the lowest snakes in the insurance industry.  You are not independent.  You are not given fresh leads.  You will pay more than you earn especially if you decide to build an agency.  
If you decide to pursue National Agents Alliance after reading this from a prior respected Agency Manager, don't say you were never warned.  I'm hoping this saves someone else from experiencing the same severe hardship as I have.
P.S. Philip Hudgins claims this to be a Christian company  This is a RED FLAG...  Hopefully there is a special place for people using this as their way to build a business.
Burned Prior NAA Agency Manager
Evansville, IndianaU.S.A.									",  Insurance Agencies ,0
